_row_number,fantasyPointsRank,playerName,position,byeWeek,games,fantasyPoints,auctionValue,passComp,passAtt,passYds,passTd,passInt,passSacked,rushAtt,rushYds,rushTd,recvTargets,recvReceptions,recvYds,recvTd,fumbles,fumblesLost,twoPt,returnYds,returnTd,fgMade019,fgAtt019,fgMade2029,fgAtt2029,fgMade3039,fgAtt3039,fgMade4049,fgAtt4049,fgMade50plus,fgAtt50plus,patMade,patAtt,dstSacks,dstSafeties,dstInt,dstFumblesForced,dstFumblesRecovered,dstTd,dstReturnYds,dstReturnTd,dstPts0,dstPts16,dstPts713,dstPts1420,dstPts2127,dstPts2834,dstPts35plus,idpTacklesSolo,idpTacklesAssist,idpSacks,idpTacklesForLoss,idpPassDefended,idpInt,idpFumblesForced,idpFumblesRecovered,idpSafeties,idpTd,_quarantine_reason,_exceptions
10,9,Derrick Henry,RB,7,17.0,267.6,44,0.0,0.0,0.0,0.0,0.0,0.0,298.5019,1441.0892,11.8425,32.6284,27.2336,192.3487,1.1548,4.3307,1.9381,0.4743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 10, 'column': 'teamName', 'value': 'BLT', 'error': 'Invalid value BLT for teamName'}]"
14,13,Puka Nacua,WR,8,17.0,291.0,38,0.0,0.0,0.0,0.0,0.0,0.0,10.8348,64.7104,0.5666,157.8156,112.4073,1306.0855,6.3355,1.3583,0.7332,0.4332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 14, 'column': 'teamName', 'value': 'LA', 'error': 'Invalid value LA for teamName'}]"
15,14,Kyren Williams,RB,8,17.0,244.0,33,0.0,0.0,0.0,0.0,0.0,0.0,248.3346,1093.3067,8.7162,41.9289,34.2478,241.6067,1.591,3.7278,1.6813,0.3973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 15, 'column': 'teamName', 'value': 'LA', 'error': 'Invalid value LA for teamName'}]"
16,15,Nico Collins,WR,6,17.0,273.7,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.9846,99.6264,1299.3454,7.2377,0.0,0.0,0.3757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 16, 'column': 'teamName', 'value': 'HST', 'error': 'Invalid value HST for teamName'}]"
26,25,Trey McBride,TE,8,17.0,241.1,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.4411,105.9743,987.5098,5.9366,0.0,0.0,0.3779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 26, 'column': 'teamName', 'value': 'ARZ', 'error': 'Invalid value ARZ for teamName'}]"
34,33,James Conner,RB,8,17.0,225.0,26,0.0,0.0,0.0,0.0,0.0,0.0,192.0038,863.1457,6.9187,49.4433,41.5343,282.2175,1.3498,3.0445,1.3895,0.3471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 34, 'column': 'teamName', 'value': 'ARZ', 'error': 'Invalid value ARZ for teamName'}]"
38,37,Marvin Harrison Jr.,WR,8,17.0,235.3,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.7744,87.0579,1038.7076,7.2619,0.0,0.0,0.3869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 38, 'column': 'teamName', 'value': 'ARZ', 'error': 'Invalid value ARZ for teamName'}]"
43,42,Lamar Jackson,QB,7,17.0,328.4,19,315.6998,444.2148,3403.7526,26.0278,8.2891,35.581,114.3642,699.8063,3.8696,0.0,0.0,0.0,0.0,0.0,0.0,1.6172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 43, 'column': 'teamName', 'value': 'BLT', 'error': 'Invalid value BLT for teamName'}]"
44,43,Davante Adams,WR,8,17.0,224.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.6219,83.7982,971.9103,7.0628,0.0,0.0,0.3322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 44, 'column': 'teamName', 'value': 'LA', 'error': 'Invalid value LA for teamName'}]"
68,67,Zay Flowers,WR,7,17.0,205.6,14,0.0,0.0,0.0,0.0,0.0,0.0,6.5297,42.9271,0.3115,111.351,76.2325,926.4316,5.0531,0.9101,0.4924,0.3878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validation_failed,"[{'row': 68, 'column': 'teamName', 'value': 'BLT', 'error': 'Invalid value BLT for teamName'}]"
